Age,Gender,Tribe,Father_Tribe,Mother_Tribe,Same_Tribe_Parents,Place_of_Birth,Current_Residence,Migrated,Number_of_Siblings,Lived_with_Grandparents,MT_Taught_in_School,Language_Spoken_by_Parents,Language_Spoken_with_Siblings,Ever_Visited_Village,Attended_Cultural_Meetings,Belongs_to_Cultural_Group,MT_Used_in_Church_or_Mosque,Knows_Songs_in_MT,Wants_Children_to_Speak_MT,MT_Proficiency,Cultural_Identity_Strength
13,Female,Fulani,Fulani,Fulani,Yes,Adamawa,Maroua,Yes,3,No,No,Mix of Fulfulde and Arabic,Fulfulde (mother tongue),No,Yes,No,Arabic (Quran),Yes,No,Minimal,Weak
10,Female,Meta,Meta,Bafut,No,South West,Bafoussam,No,4,No,No,Meta (mother tongue),Meta (mother tongue),No,Yes,No,Meta (mother tongue),Yes,Yes,Basic,Weak
17,Male,Bakweri,Bakweri,Bakweri,Yes,Buea,Buea,No,4,No,No,Mix of Pidgin and English,Mix of Pidgin and English,Yes,No,No,French,Yes,No,None,Weak
10,Female,Fulani,Fulani,Fulani,Yes,Bamenda,Garoua,Yes,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,Hausa,Yes,Yes,Conversational,Moderate
8,Female,Fulani,Fulani,Fulani,Yes,Yaoundé,Garoua,No,4,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,Fulfulde,Yes,Yes,Conversational,Moderate
19,Female,Bafut,Bafut,Meta,No,South West,Douala,No,3,Yes,No,Bafut (mother tongue),Mix of MT and Pidgin,No,Yes,Yes,English,Yes,Yes,Basic,Moderate
8,Female,Bafut,Bafut,Bafut,Yes,North West,Bafut Village,Yes,1,Yes,No,Bafut (mother tongue),Bafut (mother tongue),Yes,Yes,No,Bafut (mother tongue),No,Yes,Conversational,Weak
10,Female,Meta,Meta,Bakweri,No,Yaoundé,Yaoundé,No,1,Yes,No,Meta (mother tongue),Cameroonian Pidgin English,Yes,Yes,Yes,Meta (mother tongue),No,No,Fluent,Strong
11,Female,Bakweri,Bakweri,Bakweri,Yes,North West,Douala,Yes,5,No,No,Mix of Pidgin and English,English,Yes,No,Yes,English,No,No,None,Weak
16,Female,Bakweri,Bakweri,Bakweri,Yes,South West,Yaoundé,No,0,No,No,Mokpwe (mother tongue),Mokpwe (mother tongue),No,No,No,French,Yes,Yes,Basic,Detached
